OTU ID	ExtractionNC	GmGm1	GmGm10	GmGm2	GmGm3	GmGm4	GmGm5	GmGm6	GmGm7	GmGm8	GmGm9	GmZm1	GmZm10	GmZm2	GmZm3	GmZm4	GmZm5	GmZm6	GmZm7	GmZm8	GmZm9	HaZm1	HaZm10	HaZm2	HaZm3	HaZm4	HaZm5	HaZm6	HaZm7	HaZm8	HaZm9	PsZm1	PsZm10	PsZm2	PsZm3	PsZm4	PsZm5	PsZm6	PsZm7	PsZm8	PsZm9	TaGm1	TaGm10	TaGm2	TaGm3	TaGm4	TaGm5	TaGm6	TaGm7	TaGm8	TaGm9	ZmGm1	ZmGm10	ZmGm2	ZmGm3	ZmGm4	ZmGm5	ZmGm6	ZmGm7	ZmGm8	ZmGm9	ZmZm1	ZmZm10	ZmZm2	ZmZm3	ZmZm4	ZmZm5	ZmZm6	ZmZm7	ZmZm8	ZmZm9
OTU_1	0	40	7416	9	8955	20605	52	63	19738	9802	156	30344	2443	57	8665	24821	30318	56	6750	21709	3996	3627	19142	1587	147	6849	16129	50	2041	21705	13336	32	15824	6860	8934	49	30	24	190	40	6763	48	7911	8	17693	56	15956	15	5236	4243	41	17480	22899	36	18485	77	19744	52	54	63	81	38	7450	557	20510	107	142	15643	32	63	54
OTU_10	0	8	4	4	3	8	8	6	5	47	13290	9562	18	16	3	25	12	8727	51	19077	21	3	0	0	8	2	0	0	2	0	1	0	0	0	0	0	0	0	38	0	0	0	0	0	0	0	2322	0	0	6	1	0	0	0	0	0	1	2	0	0	0	7	452	6	5	6157	9	5	8	12	11406
OTU_100	0	15	32	11	6	2	5	29	11	4	4	18	3	4	68	111	0	13	72	48	468	29	0	205	5	12	24	18	10	12	13	45	6	0	21	12	40	0	25	13	4	20	85	3	27	12	17	2	39	181	0	666	72	6	6	5	18	432	24	20	8	286	15	542	17	130	5	46	39	40	5
OTU_1000	0	0	2	0	0	0	1	1	1	0	0	4	0	1	0	0	0	1	0	0	11	0	0	0	7	0	0	0	2	0	0	4	0	2	0	0	0	0	0	0	9	2	8	0	6	0	4	0	0	8	0	0	0	0	0	9	0	0	0	4	0	4	0	0	3	4	4	0	0	0	7
OTU_1001	0	1	1	0	0	0	0	4	0	0	0	0	0	0	0	0	2	14	1	0	0	0	0	3	0	0	0	0	0	1	1	0	0	0	0	8	38	0	0	7	0	0	1	1	0	0	1	0	0	1	0	0	5	1	5	0	0	0	0	2	0	0	0	1	0	0	0	0	0	6	0
OTU_1002	0	0	2	0	0	0	0	5	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	6	0	0	0	0	5	0	0	4	0	0	0	0	0	0	3	0	1	0	0	3	0	0	0	0	0	0	8	1	0	0	0	0	0	3	3	0	4	0	2	0	0	0	3	0	0	0
OTU_1003	0	0	5	0	0	0	0	0	3	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	22	0	0	0	0	0	0	0	2	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0
OTU_1004	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0
OTU_1005	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	2	0	0	7	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	14	2	0
OTU_1006	0	0	16	0	0	1	0	0	0	3	3	1	6	0	0	0	0	0	0	4	0	0	0	0	0	11	0	0	0	0	0	5	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	5	0	0	0	0	0	0	0	0	4	4	0	0	0
