Feature ID	Taxon	Confidence
MJ010-1-barcode25-umi53577bins-ubs-12	d__Bacteria; p__Bdellovibrionota_E; c__Bdellovibrionia_A_473294; o__Bdellovibrionales; f__SG-bin7; g__SG-bin7; s__SG-bin7 sp002083485	1.0
MJ031-1-barcode30-umi38942bins-ubs-3	d__Bacteria; p__Bdellovibrionota_E; c__Bdellovibrionia_A_473294; o__Bdellovibrionales; f__Bdellovibrionaceae; g__; s__	1.0
MJ030-2-barcode65-umi61439bins-ubs-13	d__Bacteria; p__Verrucomicrobiota; c__Verrucomicrobiae; o__Pedosphaerales; f__; g__; s__	1.0
MJ030-2-barcode58-umi60761bins-ubs-10	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales_592522; f__Burkholderiaceae_A_592522; g__Piscinibacter; s__	1.0
MJ031-1-barcode30-umi22215bins-ubs-16	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Chitinophagales; f__Chitinophagaceae_966727; g__VBAR01; s__VBAR01 sp005882315	1.0
MJ020-2-barcode70-umi68426bins-ubs-3	d__Bacteria; p__Myxococcota_A_473307; c__; o__; f__; g__; s__	1.0
MJ020-1-barcode31-umi114622bins-ubs-3	d__Bacteria; p__Desulfobacterota_B; c__Binatia; o__UBA9968; f__UBA9968; g__; s__	1.0
AB279547	d__Bacteria; p__Actinobacteriota; c__Actinomycetia; o__Actinomycetales; f__Microbacteriaceae; g__Agrococcus; s__Agrococcus citreus	1.0
RS-GCF-014697075.1-NZ-JACJRE010000117.1	d__Bacteria; p__Patescibacteria; c__Paceibacteria; o__Paceibacterales; f__Staskawiczbacteraceae; g__GWA2-37-10; s__	1.0
G900107305	d__Bacteria; p__Firmicutes_D; c__Bacilli; o__Thermoactinomycetales_367745; f__Thermoactinomycetaceae; g__Baia; s__Baia sp900107305	1.0
MJ010-1-barcode26-umi41713bins-ubs-17	d__Bacteria; p__Firmicutes_D; c__Bacilli; o__Paenibacillales; f__Paenibacillaceae_367444; g__Paenibacillus_J_366882; s__	1.0
G001427145	d__Bacteria; p__Actinobacteriota; c__Actinomycetia; o__Actinomycetales; f__Microbacteriaceae; g__Microbacterium_A_383184; s__Microbacterium_A_383184 sp001427145	1.0
MJ020-1-barcode31-umi124340bins-ubs-3	d__Bacteria; p__Acidobacteriota; c__Acidobacteriae; o__Acidobacteriales; f__SbA1; g__Sulfotelmatobacter; s__Sulfotelmatobacter sp003166855	1.0
MJ034-1-barcode41-umi8571bins-ubs-52	d__Bacteria; p__Firmicutes_D; c__Bacilli; o__Bacillales_B_302584; f__DSM-1321_301386; g__Peribacillus_301373; s__	1.0
MJ034-1-barcode33-umi13083bins-ubs-24	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Cytophagales; f__Cyclobacteriaceae_900466; g__Chryseolinea; s__Chryseolinea serpens	1.0
MK241968	d__Bacteria; p__Actinobacteriota; c__Actinomycetia; o__Mycobacteriales; f__Mycobacteriaceae; g__Rhodococcus_C_375578; s__Rhodococcus_C_375578 oryzae	1.0
RS-GCF-003590945.1-NZ-QYUK01000011.1	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Zavarziniales; f__Zavarziniaceae; g__; s__	1.0
MJ030-2-barcode59-umi76042bins-ubs-7	d__Bacteria; p__Acidobacteriota; c__Acidobacteriae; o__VXMN01; f__VXMN01; g__VXMN01; s__VXMN01 sp009841055	1.0
DQ768119	d__Bacteria; p__Myxococcota_A_473307; c__Myxococcia; o__Myxococcales; f__Myxococcaceae; g__Myxococcus_463553; s__Myxococcus virescens	1.0
G001873935	d__Bacteria; p__Desulfobacterota_E; c__MBNT15; o__MBNT15; f__MBNT15; g__CG2-30-66-27; s__CG2-30-66-27 sp001873935	1.0
MJ033-1-barcode32-umi1544bins-ubs-210	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Diplorickettsiales; f__Diplorickettsiaceae; g__; s__	1.0
RS-GCF-003386155.1-NZ-QRDU01000016.1	d__Bacteria; p__Firmicutes_D; c__Bacilli; o__Paenibacillales; f__Paenibacillaceae_367444; g__Paenibacillus_J_366884; s__Paenibacillus_J_366884 cellulositrophicus_A	1.0
RS-GCF-002259955.1-NZ-NOLX01000075.1	d__Bacteria; p__Firmicutes_D; c__Bacilli; o__Brevibacillales; f__Brevibacillaceae; g__Brevibacillus_B_362671; s__Brevibacillus_B_362671 halotolerans	1.0
RS-GCF-008824165.1-NZ-CP044409.1--6	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales_650611; f__Pseudomonadaceae; g__Pseudomonas_E_647464; s__Pseudomonas_E_647464 umsongensis	1.0
KX816420	d__Bacteria; p__Firmicutes_D; c__Bacilli; o__Bacillales_B_306085; f__Jeotgalibacillaceae; g__Jeotgalibacillus; s__Jeotgalibacillus proteolyticus	1.0
MJ033-1-barcode47-umi1091bins-ubs-262	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Chitinophagales; f__Chitinophagaceae_966727; g__Terrimonas_941540; s__	1.0
MJ030-2-barcode60-umi63906bins-ubs-9	d__Bacteria; p__Myxococcota_A_437813; c__Polyangia_437813; o__Haliangiales_437813; f__Haliangiaceae_437813; g__; s__	1.0
RS-GCF-012971745.1-NZ-CP048834.1	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales_A_504705; f__Xanthobacteraceae_503485; g__Starkeya; s__Starkeya novella	1.0
MJ020-1-barcode31-umi42856bins-ubs-10	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Steroidobacterales; f__Steroidobacteraceae; g__; s__	1.0
MJ030-1-barcode42-umi67379bins-ubs-7	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Cytophagales; f__Cyclobacteriaceae_900466; g__Chryseolinea; s__Chryseolinea serpens	1.0
GU721026	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales_592522; f__Burkholderiaceae_A_592522; g__Pseudorhodoferax; s__Pseudorhodoferax aquiterrae	1.0
MJ034-2-barcode71-umi1016bins-ubs-388	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Cytophagales; f__172606-1; g__Rhodocytophaga; s__Rhodocytophaga rosea	1.0
MJ031-1-barcode30-umi39497bins-ubs-5	d__Bacteria; p__Bacteroidota; c__Ignavibacteria; o__Ignavibacteriales; f__Ignavibacteriaceae_785640; g__; s__	1.0
MJ031-1-barcode42-umi42370bins-ubs-3	d__Bacteria; p__Firmicutes_A; c__Clostridia_258483; o__Lutisporales; f__Lutisporaceae; g__Lutispora; s__Lutispora thermophila	1.0
G000743035	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Caedimonadales; f__Caedimonadaceae; g__Paracaedimonas; s__Paracaedimonas acanthamoebae	1.0
JQ673417	d__Bacteria; p__Actinobacteriota; c__Actinomycetia; o__Propionibacteriales; f__Nocardioidaceae; g__Nocardioides_A_392796; s__Nocardioides_A_392796 zhouii	1.0
MJ034-1-barcode34-umi26007bins-ubs-4	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Cytophagales; f__Cyclobacteriaceae_900466; g__Chryseolinea; s__Chryseolinea serpens	1.0
MJ032-1-barcode47-umi69960bins-ubs-3	d__Bacteria; p__Firmicutes_C; c__Negativicutes; o__Propionisporales_41694; f__Propionisporaceae_41694; g__Pelosinus; s__	1.0
MH032761	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales_A_504705; f__Phreatobacteraceae; g__Phreatobacter; s__Phreatobacter cathodiphilus	1.0
GU564360	d__Bacteria; p__Actinobacteriota; c__Actinomycetia; o__Actinomycetales; f__Microbacteriaceae; g__Microbacterium_A_383312; s__Microbacterium_A_383312 oryzae	1.0
MJ031-2-barcode62-umi45863bins-ubs-4	d__Bacteria; p__Firmicutes_D; c__Bacilli; o__Bacillales_B_302584; f__DSM-18226_301387; g__Bacillus_BD; s__	1.0
