otu_id,size,kingdom,phylum,class,order,family,genus,species,taxa_labels
OTU_1,493938,Fungi,Ascomycota,Pezizomycetes,Pezizales,Pezizaceae,Iodophanus,,Iodophanus_sp
OTU_2,301811,Fungi,Glomeromycota,Glomeromycetes,Glomerales,Glomeraceae,,,Glomeraceae_sp
OTU_3,149083,Fungi,Ascomycota,Sordariomycetes,Sordariales,Podosporaceae,,,Podosporaceae_sp
OTU_4,134117,Fungi,Ascomycota,Pezizomycetes,Pezizales,Pezizaceae,Peziza,,Peziza_sp
OTU_15,115299,Fungi,Glomeromycota,Glomeromycetes,Glomerales,Glomeraceae,Rhizophagus,Rhizophagus_irregularis,Rhizophagus_irregularis
OTU_16,106969,Fungi,Ascomycota,Pezizomycetes,Pezizales,Pezizaceae,Peziza,,Peziza_sp
OTU_5,104678,Fungi,Ascomycota,Lecanoromycetes,,,,,Lecanoromycetes_sp
OTU_6,100895,Fungi,Ascomycota,Leotiomycetes,Helotiales,Helotiaceae,Tetracladium,,Tetracladium_sp
OTU_18,93465,Fungi,,,,,,,Fungi_sp
OTU_14,89968,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Nectriaceae,Fusarium,Fusarium_oxysporum,Fusarium_oxysporum
OTU_10,88394,Fungi,Basidiomycota,Agaricomycetes,Cantharellales,Ceratobasidiaceae,Rhizoctonia,Rhizoctonia_solani,Rhizoctonia_solani
OTU_8,81915,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Stachybotryaceae,Stachybotrys,,Stachybotrys_sp
OTU_9,79908,Fungi,Ascomycota,Pezizomycetes,Pezizales,Pezizaceae,Peziza,,Peziza_sp
OTU_25,76310,Fungi,Ascomycota,Leotiomycetes,Helotiales,Hyaloscyphaceae,,,Hyaloscyphaceae_sp
OTU_19,66527,Fungi,Ascomycota,Sordariomycetes,Branch06,,,,Sordariomycetes_sp
OTU_11,65018,Fungi,Ascomycota,Sordariomycetes,Sordariales,,,,Sordariales_sp
OTU_17,57400,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Nectriaceae,Fusarium,Fusarium_solani,Fusarium_solani
