OTU_ID	HaZm1	HaZm2	HaZm3	HaZm4	HaZm5	HaZm6	HaZm7	HaZm8	HaZm9	HaZm10	ZmGm1	ZmGm2	ZmGm3	ZmGm4	ZmGm5	ZmGm6	ZmGm7	ZmGm8	ZmGm9	ZmGm10	TaGm1	TaGm2	TaGm3	TaGm4	TaGm5	TaGm6	TaGm7	TaGm8	TaGm9	TaGm10	ZmZm1	ZmZm2	ZmZm3	ZmZm4	ZmZm5	ZmZm6	ZmZm7	ZmZm8	ZmZm9	ZmZm10	GmZm1	GmZm2	GmZm3	GmZm4	GmZm5	GmZm6	GmZm7	GmZm8	GmZm9	GmZm10	GmGm1	GmGm2	GmGm3	GmGm4	GmGm5	GmGm6	GmGm7	GmGm8	GmGm9	GmGm10	PsZm1	PsZm2	PsZm3	PsZm4	PsZm5	PsZm6	PsZm7	PsZm8	PsZm9	PsZm10	taxonomy	Taxon	Taxon Level	Trophic Mode	Guild	Growth Morphology	Trait	Confidence Ranking	Notes	Citation/Source
OTU_1	3627	1587	147	6849	16129	50	2041	21705	13336	19142	17480	36	18485	77	19744	52	54	63	81	22899	48	8	17693	56	15956	15	5236	4243	41	7911	38	557	20510	107	142	15643	32	63	54	7450	30344	57	8665	24821	30318	56	6750	21709	3996	2443	40	9	8955	20605	52	63	19738	9802	156	7416	32	6860	8934	49	30	24	190	40	6763	15824	Fungi,Ascomycota,Pezizomycetes,Pezizales,Pezizaceae,Iodophanus	Iodophanus	13	Saprotroph	Undefined Saprotroph	NULL	NULL	Probable	NULL	b'Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))'
OTU_2	2615	1228	1913	1301	250	566	1029	651	1373	96	2361	649	2939	3790	4050	4482	6169	960	8721	1540	13576	2848	3824	5191	2798	8135	4579	4337	9455	604	217	605	2465	2447	871	481	766	1111	609	369	3505	2481	4191	3844	3483	3091	6643	2734	2000	3507	2463	4210	4184	7498	6390	2725	3056	3033	6825	7932	2608	1512	3762	3130	2105	497	2607	442	2631	1579	Fungi,Glomeromycota,Glomeromycetes,Glomerales,Glomeraceae	Glomeraceae	9	Symbiotroph	Arbuscular Mycorrhizal	Microfungus	NULL	Highly Probable	NULL	b'Redecker D, et al. 2013. Mycorrhiza 23:515-531 ((https://doi.org/10.1007/s00572-013-0486-y))'
OTU_4	0	0	0	0	6	0	0	0	0	0	18	18	15	12962	26	11	12	24119	13	15	13	5	5	7781	6	12431	15	12	8	22	6	1	2	4	6	4	9320	26	6	5	0	0	0	0	1	1	0	0	0	0	8	2	2	3	23032	69	21	36	36	7	31830	10570	29	34	22	14	18	1440	18	31	Fungi,Ascomycota,Pezizomycetes,Pezizales,Pezizaceae,Peziza	Peziza	13	Saprotroph-Symbiotroph	Dung Saprotroph-Ectomycorrhizal-Litter Saprotroph-Undefined Saprotroph	Pezizoid	NULL	Possible	Saprobic or ectomycorrhizal, on or in soil, leafmould etc., some species associated with dung or fire sites (Cannon & Kirk 2007)	b'Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge (ISBN: 978-0851998275); Rinaldi AC, et al. 2008. Fungal Diversity 33:1-45 ((http://www.fungaldiversity.org/fdp/sfdp/33-1.pdf)); Tedersoo L, et al. 2010. Mycorrhiza 20:217-263 ((https://doi.org/10.1007/s00572-009-0274-x)) (pro parte)'
OTU_16	874	1	0	1	4	0	0	0	5	0	5	9	2	6	4047	6	13	15	12258	9	3	3267	14	2	4	4	4790	21	23	3	1	9530	20	15	5	2	2	8	1	4	18	17	25008	44	26	14	17	80	27	15746	7	2	12	9	2	2	2	11	6788	6	7	4	7	21	9	11	18	25045	9	13	Fungi,Ascomycota,Pezizomycetes,Pezizales,Pezizaceae,Peziza	Peziza	13	Saprotroph-Symbiotroph	Dung Saprotroph-Ectomycorrhizal-Litter Saprotroph-Undefined Saprotroph	Pezizoid	NULL	Possible	Saprobic or ectomycorrhizal, on or in soil, leafmould etc., some species associated with dung or fire sites (Cannon & Kirk 2007)	b'Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge (ISBN: 978-0851998275); Rinaldi AC, et al. 2008. Fungal Diversity 33:1-45 ((http://www.fungaldiversity.org/fdp/sfdp/33-1.pdf)); Tedersoo L, et al. 2010. Mycorrhiza 20:217-263 ((https://doi.org/10.1007/s00572-009-0274-x)) (pro parte)'
OTU_6	1778	588	1881	4308	2144	3313	899	784	6651	164	115	15	198	364	86	506	121	30	115	683	7204	203	1153	2541	620	605	277	33	138	1888	4049	76	2827	401	89	217	468	1011	1328	161	372	1600	168	344	467	187	2798	5058	111	191	7384	100	25	63	2229	260	1193	394	87	380	78	724	127	4646	6477	14243	86	586	287	198	Fungi,Ascomycota,Leotiomycetes,Helotiales,Helotiaceae,Tetracladium	Tetracladium	13	Saprotroph	Undefined Saprotroph	NULL	NULL	Probable	NULL	b'Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))'
OTU_14	232	1572	997	343	119	403	266	33	177	3470	1252	306	741	153	1764	4505	66	342	580	2123	867	770	40	28	2134	23	48	46	34	58	4419	1846	1418	206	82	1194	250	1282	77	185	121	1952	1261	759	1504	1463	74	1537	397	3067	1247	74	6463	1410	4424	3876	3468	2423	106	713	509	426	1742	3761	2514	1792	198	2124	136	5976	Fungi,Ascomycota,Sordariomycetes,Hypocreales,Nectriaceae,Fusarium,Fusarium_oxysporum	Fusarium	13	Pathotroph-Saprotroph-Symbiotroph	Animal Pathogen-Endophyte-Lichen Parasite-Plant Pathogen-Soil Saprotroph-Wood Saprotroph	Microfungus	NULL	Possible	Likely opportunistic human pathogen (Irinyi et al. 2015)	b'Duncan CG, Eslyn WE. 1966. Mycologia 58:642-664 ((https://doi.org/10.2307/3757045)); Seehann G, et al. 1975. List of Fungi in Soft-Rot Tissue Tests. Institute fur Holzbiologie und Holzschutz, Bundesforschungsanstalt fur Forst - und Holzwirtshaft, Hamburg - Lohbrugge, Germany; Costa IPMW, et al. 2012. Mycotaxon 119:e26 ((http://mycotaxon.com/resources/checklists/costa_v119_checklist.pdf)); Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688)); Irinyi L, et al. 2015. Medical Mycology 53:313-337 ((https://doi.org/10.1093/mmy/myv008)); Schroers, et al. 2016. Mycologia 108:806-819 ((https://doi.org/10.3852/15-255)); The American Phytopathological Society Common Names of Plant Diseases ((http://www.apsnet.org/publications/commonnames/Pages/default.aspx)); Lawrey JD, Diederich P. 2016. http://www.lichenicolous.net (accessed 24 May 2017) ((http://www.lichenicolous.net))'
OTU_1157	1006	518	685	459	174	316	403	288	420	16	964	371	887	1286	1768	1900	2901	493	3521	558	4256	1221	2007	2133	1227	3604	2120	2425	3243	280	95	242	706	1028	388	216	431	238	345	162	1439	1287	1857	1525	846	1327	2588	1124	842	1081	896	1369	1132	2909	2638	1480	970	1063	2671	3653	853	549	1453	1260	801	190	1104	278	1108	521	Fungi,Glomeromycota,Glomeromycetes,Glomerales,Glomeraceae	Glomeraceae	9	Symbiotroph	Arbuscular Mycorrhizal	Microfungus	NULL	Highly Probable	NULL	b'Redecker D, et al. 2013. Mycorrhiza 23:515-531 ((https://doi.org/10.1007/s00572-013-0486-y))'
OTU_9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	6	0	8	1	11	9	12	10	7	9	7	13	12	17121	0	2	0	0	0	0	0	0	0	0	6	1	2	3	5	5	12197	28	1	9	16934	8	14	20	32	17422	15	25	14	29	4	2	4	13	3	3	15841	12	10	6	Fungi,Ascomycota,Pezizomycetes,Pezizales,Pezizaceae,Peziza	Peziza	13	Saprotroph-Symbiotroph	Dung Saprotroph-Ectomycorrhizal-Litter Saprotroph-Undefined Saprotroph	Pezizoid	NULL	Possible	Saprobic or ectomycorrhizal, on or in soil, leafmould etc., some species associated with dung or fire sites (Cannon & Kirk 2007)	b'Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge (ISBN: 978-0851998275); Rinaldi AC, et al. 2008. Fungal Diversity 33:1-45 ((http://www.fungaldiversity.org/fdp/sfdp/33-1.pdf)); Tedersoo L, et al. 2010. Mycorrhiza 20:217-263 ((https://doi.org/10.1007/s00572-009-0274-x)) (pro parte)'
OTU_10	3	0	8	2	0	0	2	0	1	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	2322	0	0	6	1	0	7	6	5	6157	9	5	8	12	11406	452	9562	16	3	25	12	8727	51	19077	21	18	8	4	3	8	8	6	5	47	13290	4	0	0	0	0	0	0	38	0	0	0	Fungi,Basidiomycota,Agaricomycetes,Cantharellales,Ceratobasidiaceae,Rhizoctonia,Rhizoctonia_solani	Rhizoctonia	13	Pathotroph-Saprotroph-Symbiotroph	Orchid Mycorrhizal-Plant Pathogen-Wood Saprotroph	Microfungus	Soft Rot	Probable	Only symbiotic (perhaps leaning parasitic) in special cases with orchids, otherwise typically a plant pathogen.	b'Seehann G, et al. 1975. List of Fungi in Soft-Rot Tissue Tests. Institute fur Holzbiologie und Holzschutz, Bundesforschungsanstalt fur Forst - und Holzwirtshaft, Hamburg - Lohbrugge, Germany; Costa IPMW, et al. 2012. Mycotaxon 119:e26 ((http://mycotaxon.com/resources/checklists/costa_v119_checklist.pdf)); Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688)); List compiled by Sara Branco with input from Nhu Nguyen and Else Vellinga; The American Phytopathological Society Common Names of Plant Diseases ((http://www.apsnet.org/publications/commonnames/Pages/default.aspx))'
OTU_21	20	11	19	24	35	17	23	18	51	27856	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	1	0	0	0	1	0	0	0	0	2	0	0	2	52	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	1	533	15	17	21	12	17554	11	10	5	13	Fungi,Basidiomycota,Agaricomycetes,Cantharellales,Ceratobasidiaceae,Ceratobasidium	Ceratobasidium	13	Pathotroph-Saprotroph-Symbiotroph	Endomycorrhizal-Plant Pathogen-Undefined Saprotroph	Corticioid-Microfungus	NULL	Possible	Best known as plant pathogens, but also saprobic. Species are endomycorrhizal with a wide range of plant roots - especially of Orchidaceae but also even bryophytes (Cannon & Kirk 2007)	b'Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge (ISBN: 978-0851998275); Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))'
