,sample.id,species.treatments,rep,cond_spp,resp_spp,cond.wet.biomass.wbag.g,cond.wet.biomass.g,conditioning.wet.biomass2wbag.g,cond.wet.biomass2.g,conditioning.dry.biomass.g,conditioning.dry.biomass2.g,paperbag.mass.g,bag2.soy.g,response_planting_date,germination_date_maizeV0.soyVE,maizeV1.soyVC,maizeV2.soyV1,maizeV3,harvestV1.VE.date,final.root.harvest.date,SPAD.mean3,response.wet.mass.g,response.dry.mass.g,idmatch,DNA.conc.rep.1,DNA.conc.rep.2,DNA.conc.rep.3,Mean.DNA.conc,diluted_concentration,ITS1_Ct_mean,ITS1_Ct_sd,ITS1_CN_mean,ITS1_CN_sd,Fungi_qPCR_run,ITS1_CN_per_sample,V3V4_Ct_mean,V3V4_Ct_sd,V3V4_CN_mean,V3V4_CN_sd,V3V4_CN_per_sample,Bacteria_qPCR_run,germination_days,logITS1CopyNumber,logV3V4CopyNumber
HaZm1,RHaZm1,HaZm,1,Sunflower,Maize,15.05,6.84,na,na,1.73,na,8.21,na,04/05/2022,04/10/2022,4/13/2022,4/19/2022,4/26/2022,4/14/2022,4/26/2022,20.3,1.19,0.17,HaZm1,85.209,52.933,58.07,65.404,0.908,24.07,0.043588989,11400,264.5751311,Greenhouse ITS1 Rows A1-A8 B1-B8,164230308.4,23.87,0.194679223,414333.3333,38370.99599,5968955360,Greenhouse 16S Set 1 A1-8 B1-8 C1-8 A9 A10,5,8.21545330842421,9.7758983309476
HaZm2,RHaZm2,HaZm,2,Sunflower,Maize,16.64,8.44,na,na,2.19,na,8.2,na,04/05/2022,04/10/2022,04/12/2022,4/18/2022,4/25/2022,4/14/2022,4/26/2022,22.1,1.33,0.19,HaZm2,72.201,71.224,78.336,73.92033333,1.736,24.86333333,0.109696551,7103.333333,466.9403959,Greenhouse ITS1 Rows A1-A8 B1-B8,60493176.01,24.35666667,0.274286954,331000,44170.12565,2818851421,Greenhouse 16S Set 1 A1-8 B1-8 C1-8 A9 A10,5,7.78170638641524,9.4500721852223
HaZm3,RHaZm3,HaZm,3,Sunflower,Maize,16.78,8.58,na,na,2.24,na,8.2,na,04/05/2022,04/10/2022,04/12/2022,4/19/2022,4/25/2022,4/14/2022,4/26/2022,23.1,1.38,0.19,HaZm3,57.539,62.011,59.068,59.53933333,1.978,24.91,0.075498344,6906.666667,321.299445,Greenhouse ITS1 Rows A1-A8 B1-B8,41579204.13,23.96666667,0.225905585,396000,41327.95664,2383981395,Greenhouse 16S Set 1 A1-8 B1-8 C1-8 A9 A10,5,7.6188761722187,9.37730286177274
HaZm4,RHaZm4,HaZm,4,Sunflower,Maize,15.94,7.73,na,na,1.93,na,8.21,na,04/05/2022,04/10/2022,04/12/2022,4/19/2022,4/25/2022,4/14/2022,4/26/2022,19.9,1.04,0.16,HaZm4,70.049,61.501,68.291,66.61366667,2.057,23.99666667,0.080829038,11933.33333,611.0100927,Greenhouse ITS1 Rows A1-A8 B1-B8,77289556.53,23.85666667,0.232880513,417333.3333,47606.02203,2702975552,Greenhouse 16S Set 1 A1-8 B1-8 C1-8 A9 A10,5,7.88812081542151,9.4318421175894
HaZm5,RHaZm5,HaZm,5,Sunflower,Maize,16.76,8.59,na,na,2.25,na,8.17,na,04/05/2022,04/12/2022,4/14/2022,4/19/2022,4/25/2022,4/15/2022,4/26/2022,19.6,1.2,0.17,HaZm5,60.638,66.128,69.102,65.28933333,1.407,23.15333333,0.032145503,19666.66667,416.3331999,Greenhouse ITS1 Rows A1-A8 B1-B8,182519339.8,24.53,0.213775583,304666.6667,30435.72462,2827502993,Greenhouse 16S Set 1 A1-8 B1-8 C1-8 A9 A10,7,8.26130888919477,9.45140307331197
HaZm6,RHaZm6,HaZm,6,Sunflower,Maize,16.79,8.62,na,na,2.13,na,8.17,na,04/05/2022,04/10/2022,4/13/2022,4/19/2022,4/25/2022,4/14/2022,4/26/2022,20.7,1.34,0.2,HaZm6,74.738,74.27,71.65,73.55266667,1.857,23.87333333,0.1106044,12833.33333,802.0806277,Greenhouse ITS1 Rows A1-A8 B1-B8,101661377.4,23.6,0.290516781,471333.3333,64314.33225,3733745133,Greenhouse 16S Set 1 A1-8 B1-8 C1-8 A9 A10,5,8.00715598961975,9.57214466950234
HaZm7,RHaZm7,HaZm,7,Sunflower,Maize,14.67,6.47,na,na,1.57,na,8.2,na,04/05/2022,04/10/2022,04/12/2022,4/19/2022,4/25/2022,4/14/2022,4/26/2022,24.3,1.44,0.2,HaZm7,66.139,83.587,64.298,71.34133333,1.556,24.36666667,0.070237692,9550,385.8756276,Greenhouse ITS1 Rows A1-A8 B1-B8,87571945.15,24.88333333,0.265392791,258333.3333,32129.9445,2368874607,Greenhouse 16S Set 1 A1-8 B1-8 C1-8 A9 A10,5,7.94236499637354,9.37454207257196
HaZm8,RHaZm8,HaZm,8,Sunflower,Maize,15.06,6.87,na,na,1.68,na,8.19,na,04/05/2022,04/10/2022,04/12/2022,4/19/2022,4/26/2022,4/14/2022,4/26/2022,23.2,1.53,0.26,HaZm8,70.361,82.142,85.417,79.30666667,1.402,21.88,0.303479818,42466.66667,7259.706146,Greenhouse ITS1 Rows A1-A8 B1-B8,480440767.2,23.66,0.812219182,479000,194917.9314,5419100333,Greenhouse 16S Set 1 A1-8 B1-8 C1-8 A9 A10,5,8.68163985180917,9.73392719191752
HaZm9,RHaZm9,HaZm,9,Sunflower,Maize,16.46,8.27,na,na,2.04,na,8.19,na,04/05/2022,04/10/2022,4/13/2022,4/19/2022,4/25/2022,4/14/2022,4/26/2022,22.7,1.32,0.22,HaZm9,84.544,66.17,45.748,65.48733333,1.266,21.42333333,0.04163332,52500,1248.9996,Greenhouse ITS1 Rows C1-8 D1-8 E1-8 A9 A10,543141390.2,24.32666667,0.085049005,333333.3333,12858.20101,3448516763,Greenhouse 16S Set 1 A1-8 B1-8 C1-8 A9 A10,5,8.73491289955295,9.53763234140535
HaZm10,RHaZm10,HaZm,10,Sunflower,Maize,15.62,7.43,na,na,1.98,na,8.19,na,04/05/2022,04/10/2022,04/12/2022,4/18/2022,4/25/2022,4/14/2022,4/26/2022,19.1,1.2,0.18,HaZm10,90.835,77.847,50.697,73.12633333,1.096,21.30666667,0.229419557,56600,7318.469785,Greenhouse ITS1 Rows C1-8 D1-8 E1-8 A9 A10,755282931.8,24.65333333,0.142945211,287000,19313.20792,3829791545,Greenhouse 16S Set 1 A1-8 B1-8 C1-8 A9 A10,5,8.87810967043948,9.58317513602607
